team1,team2,matches_played,team1_wins,team2_wins,team1_win_rate
Royal Challengers Bangalore,Kings XI Punjab,26,12,14,0.46153846153846156
Royal Challengers Bangalore,Delhi Daredevils,21,13,6,0.6190476190476191
Royal Challengers Bangalore,Kolkata Knight Riders,32,14,18,0.4375
Royal Challengers Bangalore,Mumbai Indians,32,13,18,0.40625
Royal Challengers Bangalore,Rajasthan Royals,29,15,12,0.5172413793103449
Royal Challengers Bangalore,Deccan Chargers,11,5,6,0.45454545454545453
Royal Challengers Bangalore,Chennai Super Kings,30,10,20,0.3333333333333333
Royal Challengers Bangalore,Kochi Tuskers Kerala,2,2,0,1.0
Royal Challengers Bangalore,Pune Warriors,5,5,0,1.0
Royal Challengers Bangalore,Sunrisers Hyderabad,22,10,11,0.45454545454545453
Royal Challengers Bangalore,Gujarat Lions,5,3,2,0.6
Royal Challengers Bangalore,Rising Pune Supergiants,2,2,0,1.0
Royal Challengers Bangalore,Rising Pune Supergiant,2,0,2,0.0
Royal Challengers Bangalore,Delhi Capitals,9,4,5,0.4444444444444444
Royal Challengers Bangalore,Punjab Kings,5,2,3,0.4
Royal Challengers Bangalore,Gujarat Titans,3,1,2,0.3333333333333333
Royal Challengers Bangalore,Lucknow Super Giants,4,3,1,0.75
Kings XI Punjab,Royal Challengers Bangalore,26,14,12,0.5384615384615384
Kings XI Punjab,Delhi Daredevils,22,13,9,0.5909090909090909
Kings XI Punjab,Kolkata Knight Riders,27,9,18,0.3333333333333333
Kings XI Punjab,Mumbai Indians,26,11,14,0.4230769230769231
Kings XI Punjab,Rajasthan Royals,21,8,12,0.38095238095238093
Kings XI Punjab,Deccan Chargers,10,7,3,0.7
Kings XI Punjab,Chennai Super Kings,23,8,14,0.34782608695652173
Kings XI Punjab,Kochi Tuskers Kerala,1,1,0,1.0
Kings XI Punjab,Pune Warriors,6,3,3,0.5
Kings XI Punjab,Sunrisers Hyderabad,16,5,11,0.3125
Kings XI Punjab,Gujarat Lions,4,2,2,0.5
Kings XI Punjab,Rising Pune Supergiants,2,1,1,0.5
Kings XI Punjab,Rising Pune Supergiant,2,1,1,0.5
Kings XI Punjab,Delhi Capitals,4,2,1,0.5
Delhi Daredevils,Royal Challengers Bangalore,21,6,13,0.2857142857142857
Delhi Daredevils,Kings XI Punjab,22,9,13,0.4090909090909091
Delhi Daredevils,Kolkata Knight Riders,21,8,13,0.38095238095238093
Delhi Daredevils,Mumbai Indians,22,11,11,0.5
Delhi Daredevils,Rajasthan Royals,18,7,11,0.3888888888888889
