match_id,season,team1,team2,venue,city,toss_winner,toss_decision,team1_matches_played,team1_wins,team1_win_rate,team1_toss_win_rate,team2_matches_played,team2_wins,team2_win_rate,team2_toss_win_rate,h2h_matches_played,h2h_team1_win_rate,is_team1_toss_winner,team1_win
335982,2008,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,14,4,0.2857142857142857,0.35714285714285715,13,6,0.46153846153846156,0.46153846153846156,32,0.4375,1,0
335983,2008,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,15,10,0.6666666666666666,0.5333333333333333,16,9,0.5625,0.3125,23,0.34782608695652173,0,0
335984,2008,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,14,7,0.5,0.42857142857142855,16,13,0.8125,0.6875,18,0.3888888888888889,0,1
335986,2008,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata,Deccan Chargers,bat,13,6,0.46153846153846156,0.46153846153846156,14,2,0.14285714285714285,0.6428571428571429,9,0.7777777777777778,0,1
335985,2008,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,bat,14,7,0.5,0.5714285714285714,14,4,0.2857142857142857,0.35714285714285715,32,0.5625,1,0
335987,2008,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,16,13,0.8125,0.6875,15,10,0.6666666666666666,0.5333333333333333,21,0.5714285714285714,0,1
335988,2008,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,14,2,0.14285714285714285,0.6428571428571429,14,7,0.5,0.42857142857142855,11,0.36363636363636365,1,0
335989,2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,16,9,0.5625,0.3125,14,7,0.5,0.5714285714285714,37,0.4594594594594595,0,1
335990,2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,14,2,0.14285714285714285,0.6428571428571429,16,13,0.8125,0.6875,9,0.2222222222222222,0,0
335991,2008,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,15,10,0.6666666666666666,0.5333333333333333,14,7,0.5,0.5714285714285714,26,0.4230769230769231,0,1
335993,2008,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,16,9,0.5625,0.3125,13,6,0.46153846153846156,0.46153846153846156,29,0.6551724137931034,0,1
335992,2008,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,14,4,0.2857142857142857,0.35714285714285715,16,13,0.8125,0.6875,29,0.5172413793103449,0,0
335994,2008,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,14,7,0.5,0.5714285714285714,14,2,0.14285714285714285,0.6428571428571429,10,0.6,0,0
335995,2008,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,15,10,0.6666666666666666,0.5333333333333333,14,7,0.5,0.42857142857142855,22,0.5909090909090909,0,1
335996,2008,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,14,4,0.2857142857142857,0.35714285714285715,16,9,0.5625,0.3125,30,0.3333333333333333,0,0
335997,2008,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,13,6,0.46153846153846156,0.46153846153846156,14,7,0.5,0.5714285714285714,34,0.3235294117647059,1,0
335998,2008,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,14,7,0.5,0.42857142857142855,14,4,0.2857142857142857,0.35714285714285715,21,0.2857142857142857,0,1
336000,2008,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,16,13,0.8125,0.6875,13,6,0.46153846153846156,0.46153846153846156,28,0.42857142857142855,1,1
