season,team,matches_played,wins,toss_wins,home_matches,away_matches,win_rate,toss_win_rate
2008,Royal Challengers Bangalore,14,4,5,7,7,0.2857142857142857,0.35714285714285715
2008,Kings XI Punjab,15,10,8,7,8,0.6666666666666666,0.5333333333333333
2008,Delhi Daredevils,14,7,6,7,7,0.5,0.42857142857142855
2008,Kolkata Knight Riders,13,6,6,7,6,0.46153846153846156,0.46153846153846156
2008,Mumbai Indians,14,7,8,7,7,0.5,0.5714285714285714
2008,Rajasthan Royals,16,13,11,7,9,0.8125,0.6875
2008,Deccan Chargers,14,2,9,7,7,0.14285714285714285,0.6428571428571429
2008,Chennai Super Kings,16,9,5,9,7,0.5625,0.3125
2009,Royal Challengers Bangalore,16,9,8,16,0,0.5625,0.5
2009,Kings XI Punjab,14,7,6,6,8,0.5,0.42857142857142855
2009,Delhi Daredevils,15,10,9,9,6,0.6666666666666666,0.6
2009,Kolkata Knight Riders,13,3,7,4,9,0.23076923076923078,0.5384615384615384
2009,Mumbai Indians,13,5,6,1,12,0.38461538461538464,0.46153846153846156
2009,Rajasthan Royals,13,5,4,0,13,0.38461538461538464,0.3076923076923077
2009,Deccan Chargers,16,9,10,10,6,0.5625,0.625
2009,Chennai Super Kings,14,8,7,11,3,0.5714285714285714,0.5
2010,Royal Challengers Bangalore,16,8,6,9,7,0.5,0.375
2010,Kings XI Punjab,14,3,5,7,7,0.21428571428571427,0.35714285714285715
2010,Delhi Daredevils,14,7,8,7,7,0.5,0.5714285714285714
2010,Kolkata Knight Riders,14,7,7,7,7,0.5,0.5
2010,Mumbai Indians,16,11,9,6,10,0.6875,0.5625
2010,Rajasthan Royals,14,6,6,7,7,0.42857142857142855,0.42857142857142855
2010,Deccan Chargers,16,8,9,7,9,0.5,0.5625
2010,Chennai Super Kings,16,9,10,10,6,0.5625,0.625
2011,Royal Challengers Bangalore,16,10,6,8,8,0.625,0.375
2011,Kings XI Punjab,14,7,10,7,7,0.5,0.7142857142857143
2011,Delhi Daredevils,14,4,9,7,7,0.2857142857142857,0.6428571428571429
2011,Kolkata Knight Riders,15,8,7,7,8,0.5333333333333333,0.4666666666666667
2011,Mumbai Indians,16,10,6,8,8,0.625,0.375
2011,Rajasthan Royals,13,6,7,7,6,0.46153846153846156,0.5384615384615384
2011,Deccan Chargers,14,6,6,7,7,0.42857142857142855,0.42857142857142855
2011,Chennai Super Kings,16,11,9,8,8,0.6875,0.5625
2011,Kochi Tuskers Kerala,14,6,8,7,7,0.42857142857142855,0.5714285714285714
2011,Pune Warriors,14,4,5,7,7,0.2857142857142857,0.35714285714285715
2012,Royal Challengers Bangalore,15,8,6,7,8,0.5333333333333333,0.4
2012,Kings XI Punjab,16,8,8,8,8,0.5,0.5
2012,Delhi Daredevils,18,11,10,10,8,0.6111111111111112,0.5555555555555556
2012,Kolkata Knight Riders,17,12,7,8,9,0.7058823529411765,0.4117647058823529
2012,Mumbai Indians,17,10,11,8,9,0.5882352941176471,0.6470588235294118
2012,Rajasthan Royals,16,7,10,8,8,0.4375,0.625
2012,Deccan Chargers,15,4,9,8,7,0.26666666666666666,0.6
2012,Chennai Super Kings,18,10,7,9,9,0.5555555555555556,0.3888888888888889
2012,Pune Warriors,16,4,6,8,8,0.25,0.375
2013,Royal Challengers Bangalore,16,8,5,8,8,0.5,0.3125
2013,Kings XI Punjab,16,8,7,8,8,0.5,0.4375
2013,Delhi Daredevils,16,3,5,8,8,0.1875,0.3125
2013,Kolkata Knight Riders,16,6,12,8,8,0.375,0.75
2013,Mumbai Indians,19,13,12,9,10,0.6842105263157895,0.631578947368421
2013,Rajasthan Royals,18,11,11,9,9,0.6111111111111112,0.6111111111111112
2013,Chennai Super Kings,18,12,8,10,8,0.6666666666666666,0.4444444444444444
2013,Pune Warriors,16,4,9,8,8,0.25,0.5625
2013,Sunrisers Hyderabad,17,9,7,8,9,0.5294117647058824,0.4117647058823529
2014,Royal Challengers Bangalore,14,5,9,7,7,0.35714285714285715,0.6428571428571429
2014,Kings XI Punjab,17,12,7,8,9,0.7058823529411765,0.4117647058823529
2014,Delhi Daredevils,14,2,4,7,7,0.14285714285714285,0.2857142857142857
2014,Kolkata Knight Riders,16,11,9,8,8,0.6875,0.5625
2014,Mumbai Indians,15,7,6,7,8,0.4666666666666667,0.4
2014,Rajasthan Royals,14,6,8,7,7,0.42857142857142855,0.5714285714285714
2014,Chennai Super Kings,16,10,10,9,7,0.625,0.625
2014,Sunrisers Hyderabad,14,6,7,7,7,0.42857142857142855,0.5
2015,Royal Challengers Bangalore,16,8,10,8,8,0.5,0.625
2015,Kings XI Punjab,14,2,7,7,7,0.14285714285714285,0.5
2015,Delhi Daredevils,14,5,5,7,7,0.35714285714285715,0.35714285714285715
2015,Kolkata Knight Riders,13,7,8,6,7,0.5384615384615384,0.6153846153846154
2015,Mumbai Indians,16,10,7,8,8,0.625,0.4375
2015,Rajasthan Royals,14,7,6,7,7,0.5,0.42857142857142855
2015,Chennai Super Kings,17,10,10,9,8,0.5882352941176471,0.5882352941176471
2015,Sunrisers Hyderabad,14,7,6,7,7,0.5,0.42857142857142855
2016,Royal Challengers Bangalore,16,9,6,8,8,0.5625,0.375
2016,Kings XI Punjab,14,4,6,7,7,0.2857142857142857,0.42857142857142855
2016,Delhi Daredevils,14,7,8,7,7,0.5,0.5714285714285714
2016,Kolkata Knight Riders,15,8,6,7,8,0.5333333333333333,0.4
2016,Mumbai Indians,14,7,9,7,7,0.5,0.6428571428571429
2016,Sunrisers Hyderabad,17,11,10,8,9,0.6470588235294118,0.5882352941176471
2016,Gujarat Lions,16,9,8,9,7,0.5625,0.5
2016,Rising Pune Supergiants,14,5,7,7,7,0.35714285714285715,0.5
2017,Royal Challengers Bangalore,13,3,9,6,7,0.23076923076923078,0.6923076923076923
2017,Kings XI Punjab,14,7,4,7,7,0.5,0.2857142857142857
2017,Delhi Daredevils,14,6,8,7,7,0.42857142857142855,0.5714285714285714
2017,Kolkata Knight Riders,16,9,9,7,9,0.5625,0.5625
2017,Mumbai Indians,17,11,11,10,7,0.6470588235294118,0.6470588235294118
2017,Sunrisers Hyderabad,14,8,5,8,6,0.5714285714285714,0.35714285714285715
